     TSINCE (MIN)         LAT(DEG)        LON (DEG)          HT (KM)           X (KM)           Y (KM)           Z (KM)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493
    322637.8538341       65.7056438      128.7589222      494.5630347    -2834.5902687      -43.5024235     6241.2853900
    322637.8705008       65.7659465      128.7066792      494.5831601    -2828.0302118      -41.0288087     6244.2808256
    322637.8871675       65.8262334      128.6542115      494.6032640    -2821.4666709      -38.5551434     6247.2685466
    322637.9038341       65.8865042      128.6015174      494.6233463    -2814.8996540      -36.0814306     6250.2485494
    322637.9205008       65.9467589      128.5485952      494.6434069    -2808.3291671      -33.6076726     6253.2208313
    322637.9371675       66.0069974      128.4954434      494.6634459    -2801.7552225      -31.1338740     6256.1853867
    322637.9538341       66.0672196      128.4420602      494.6834630    -2795.1778263      -28.6600370     6259.1422130
    322637.9705008       66.1274253      128.3884440      494.7034582    -2788.5969866      -26.1861648     6262.0913066
    322637.9871675       66.1876144      128.3345930      494.7234315    -2782.0127094      -23.7122596     6265.0326648
    322638.0038341       66.2477868      128.2805056      494.7433828    -2775.4250070      -21.2383259     6267.9662822
    322638.0205008       66.3079424      128.2261799      494.7633120    -2768.8338856      -18.7643661     6270.8921562
    322638.0371675       66.3680811      128.1716143      494.7832190    -2762.2393532      -16.2903832     6273.8102831
    322638.0538341       66.4282027      128.1168068      494.8031037    -2755.6414159      -13.8163794     6276.7206605
    322638.0705008       66.4883071      128.0617559      494.8229661    -2749.0400861      -11.3423595     6279.6232828
    322638.0871675       66.5483943      128.0064596      494.8428061    -2742.4353697       -8.8683256     6282.5181475
    322638.1038341       66.6084639      127.9509161      494.8626236    -2735.8272749       -6.3942808     6285.4052510
    322638.1205008       66.6685160      127.8951236      494.8824185    -2729.2158079       -3.9202273     6288.2845908
    322638.1371675       66.7285505      127.8390802      494.9021908    -2722.6009810       -1.4461698     6291.1561615
    322638.1538341       66.7885670      127.7827841      494.9219404    -2715.9828002        1.0278894     6294.0199605
    322638.1705008       66.8485657      127.7262333      494.9416672    -2709.3612738        3.5019473     6296.8759844
    322638.1871675       66.9085462      127.6694260      494.9613712    -2702.7364078        5.9760017     6299.7242305
    322638.2038341       66.9685085      127.6123601      494.9810522    -2696.1082145        8.4500480     6302.5646937
    322638.2205008       67.0284525      127.5550339      495.0007102    -2689.4767002       10.9240838     6305.3973713
    322638.2371675       67.0883779      127.4974452      495.0203451    -2682.8418729       13.3981061     6308.2222599
    322638.2538341       67.1482848      127.4395921      495.0399568    -2676.2037388       15.8721127     6311.0393570
    322638.2705008       67.2081728      127.3814727      495.0595454    -2669.5623103       18.3460989     6313.8486574
    322638.2871675       67.2680420      127.3230848      495.0791106    -2662.9175935       20.8200625     6316.6501585
    322638.3038341       67.3278920      127.2644264      495.0986524    -2656.2695965       23.2940005     6319.4438569
    322638.3205008       67.3877229      127.2054955      495.1181708    -2649.6183255       25.7679105     6322.2297501
    322638.3371675       67.4475344      127.1462900      495.1376657    -2642.9637929       28.2417880     6325.0078330
    322638.3538341       67.5073264      127.0868077      495.1571369    -2636.3060049       30.7156306     6327.7781030
    322638.3705008       67.5670988      127.0270466      495.1765845    -2629.6449696       33.1894355     6330.5405569
    322638.3871675       67.6268514      126.9670045      495.1960083    -2622.9806931       35.6632002     6333.2951920
    322638.4038341       67.6865840      126.9066792      495.2154083    -2616.3131880       38.1369201     6336.0420034
    322638.4205008       67.7462965      126.8460686      495.2347845    -2609.6424603       40.6105931     6338.7809885
    322638.4371675       67.8059888      126.7851704      495.2541366    -2602.9685183       43.0842160     6341.5121440
    322638.4538341       67.8656606      126.7239824      495.2734647    -2596.2913682       45.5577867     6344.2354674
    322638.4705008       67.9253119      126.6625023      495.2927688    -2589.6110222       48.0313004     6346.9509538
    322638.4871675       67.9849424      126.6007279      495.3120486    -2582.9274868       50.5047549     6349.6586007
    322638.5038341       68.0445521      126.5386569      495.3313042    -2576.2407678       52.9781480     6352.3584056
    322638.5205008       68.1041406      126.4762869      495.3505354    -2569.5508779       55.4514750     6355.0503636
    322638.5371675       68.1637080      126.4136156      495.3697422    -2562.8578232       57.9247337     6357.7344722
    322638.5538341       68.2232540      126.3506406      495.3889246    -2556.1616120       60.3979211     6360.4107281
    322638.5705008       68.2827784      126.2873596      495.4080825    -2549.4622503       62.8710348     6363.0791291
    322638.5871675       68.3422810      126.2237701      495.4272157    -2542.7597508       65.3440703     6365.7396700
    322638.6038341       68.4017618      126.1598697      495.4463242    -2536.0541195       67.8170253     6368.3923487
    322638.6205008       68.4612205      126.0956559      495.4654080    -2529.3453648       70.2898967     6371.0371617
    322638.6371675       68.5206569      126.0311262      495.4844670    -2522.6334929       72.7626824     6373.6741068
    322638.6538341       68.5800709      125.9662782      495.5035011    -2515.9185161       75.2353776     6376.3031790
    322638.6705008       68.6394623      125.9011092      495.5225102    -2509.2004407       77.7079802     6378.9243761
    322638.6871675       68.6988309      125.8356168      495.5414942    -2502.4792751       80.1804870     6381.5376948
    322638.7038341       68.7581765      125.7697982      495.5604532    -2495.7550254       82.6528958     6384.1431328
    322638.7205008       68.8174989      125.7036510      495.5793870    -2489.0277040       85.1252020     6386.7406852
    322638.7371675       68.8767980      125.6371724      495.5982955    -2482.2973173       87.5974034     6389.3303498
    322638.7538341       68.9360735      125.5703598      495.6171787    -2475.5638736       90.0694969     6391.9121233
    322638.7705008       68.9953254      125.5032105      495.6360366    -2468.8273789       92.5414802     6394.4860035
